,Track,Artist
0,Leave My Heart Alone,Jake Miller
1,lakehouse,Jeremy Zucker
2,fall in love,JAWNY
3,Life (Everybody Dies),gnash
4,Halfway There,Keenan Te
5,It Could Be Worse,Ben Kessler
6,Placebo Effect,d4vd
7,Kids Are Growing Up (Part 1),The Kid LAROI
8,Prettiest To Me,HYBS
9,Let Me Down (with Chelsea Cutler),Quinn XCII
10,late nights and lonely,Suriel Hess
11,Nothing,Keenan Te
12,don't wanna be your friend,joan
13,Somebody's Nobody,Alexander 23
14,Good For Me,ROSIE
15,Palladium,Greyson Chance
16,"See, I'm Sorry",Seafret
17,Favourite Things,Rangga Jones
18,Missing You (with Ashe),Stephen Sanchez
19,Good Enough,Gabrielle Aplin
